netRGUs,county,state
18,Wythe,51
-7,Campbell,51
16,Montgomery,51
-5,Braxton,54
-10,Brunswick,51
44,Logan,54
11,Harrison,54
9,Berkely,54
0,Sussex,51
0,trick,51
0,York,42
0,Cabell,54
-16,Nicholas,54
-16,Lewis,54
-10,Grant,54
32,lynchburg,51
-1,Augusta,51
15,Pittsylvania,51
0,Buckingham,51
0,Franklin,42
0,Blair,42
13,Fayette,54
-83,Shenandoah,51
3,Allegheny,51
12,Appomattox,51
1,Webster,54
-10,Clearfield,51
-13,Nottoway,51
0,Roanoke,51
0,Fairfax,51
0,putnam,54
0,Winchester,51
36,Russel,51
36,Garrett,24
-9,Covington,51
2,McDowell,54
-4,Wythe,51
1,Dickenson,51
-1,Raleigh,54
52,Frederick,51
1,Lunenburg,51
-1,Mineral,54
0,Danville,51
2,Washington,24
0,Mercer,54
-14,Pulaski,51
-7,Gilmer,54
-2,Cumberland,51
-2,Calhoun,54
-7,Wise,51
0,Washington,24
0,Surry,51
0,Kanawha,54
0,Floyd,51
0,Page,51
0,Nelson,51
-2,Montgomery,51
51,Bedford,51
130,Franklin,51
6,LYNCTY,51
2,Tazewell,51
3,Doddridge,54
0,Hardy,54
0,Cumberland,42
-16,WYOM,54
14,Mecklenburg,51
-6,Pendleton,54
47,Mingo,54
274,Boone,54
4,Green,54
2,Warren,51
1,Clarke,51
0,Albemarle,51
0,Monongalia,54
0,Craig,51
0,Loudoun,51
-1,Botetourt,51
-8,Barbour,54
5,Prince Edward,51
5,Charles City,51
1,Pocahontas,54
0,Morgan,54
